,year_film,year_ceremony,ceremony,category,name,film,winner
120,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False
121,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
122,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False
123,1930,1931,4,ACTRESS,Ann Harding,Holiday,False
124,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False
135,1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,False
136,1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,False
137,1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,False
138,1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,False
139,1930,1931,4,DIRECTING,Norman Taurog,Skippy,True
159,1931,1932,5,ACTOR,Wallace Beery,The Champ,True
160,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False
161,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
162,1931,1932,5,ACTRESS,Marie Dressler,Emma,False
163,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False
164,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
171,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True
172,1931,1932,5,DIRECTING,King Vidor,The Champ,False
173,1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,False
204,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False
205,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
206,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False
207,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
208,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False
209,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False
234,1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True
235,1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,False
236,1932,1933,6,DIRECTING,George Cukor,Little Women,False
266,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
267,1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False
268,1934,1935,7,ACTOR,William Powell,The Thin Man,False
269,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
270,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False
271,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False
272,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False
282,1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,True
283,1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,False
284,1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,False
288,1934,1935,7,MUSIC,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,False
289,1934,1935,7,MUSIC,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,False
290,1934,1935,7,MUSIC,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,True
291,1934,1935,7,MUSIC,Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,False
292,1934,1935,7,MUSIC,Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,True
293,1934,1935,7,MUSIC,Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,False
330,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False
331,1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,False
332,1935,1936,8,ACTOR,Victor McLaglen,The Informer,True
333,1935,1936,8,ACTOR,Paul Muni,Black Fury,False
334,1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,False
335,1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,False
336,1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,False
337,1935,1936,8,ACTRESS,Bette Davis,Dangerous,True
338,1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,False
339,1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,False
340,1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,False
359,1935,1936,8,DIRECTING,Michael Curtiz,Captain Blood,False
360,1935,1936,8,DIRECTING,John Ford,The Informer,True
361,1935,1936,8,DIRECTING,Henry Hathaway,The Lives of a Bengal Lancer,False
362,1935,1936,8,DIRECTING,Frank Lloyd,Mutiny on the Bounty,False
369,1935,1936,8,MUSIC,"Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Captain Blood,False
370,1935,1936,8,MUSIC,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,True
371,1935,1936,8,MUSIC,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Mutiny on the Bounty,False
372,1935,1936,8,MUSIC,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",Peter Ibbetson,False
373,1935,1936,8,MUSIC,Music and Lyrics by Irving Berlin,Top Hat,False
374,1935,1936,8,MUSIC,Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,Roberta,False
375,1935,1936,8,MUSIC,Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935,True
415,1936,1937,9,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False
416,1936,1937,9,ACTOR,Walter Huston,Dodsworth,False
417,1936,1937,9,ACTOR,Paul Muni,The Story of Louis Pasteur,True
418,1936,1937,9,ACTOR,William Powell,My Man Godfrey,False
419,1936,1937,9,ACTOR,Spencer Tracy,San Francisco,False
420,1936,1937,9,SUPPORTING ACTOR,Mischa Auer,My Man Godfrey,False
421,1936,1937,9,SUPPORTING ACTOR,Walter Brennan,Come and Get It,True
422,1936,1937,9,SUPPORTING ACTOR,Stuart Erwin,Pigskin Parade,False
423,1936,1937,9,SUPPORTING ACTOR,Basil Rathbone,Romeo and Juliet,False
424,1936,1937,9,SUPPORTING ACTOR,Akim Tamiroff,The General Died at Dawn,False
425,1936,1937,9,ACTRESS,Irene Dunne,Theodora Goes Wild,False
426,1936,1937,9,ACTRESS,Gladys George,Valiant Is the Word for Carrie,False
427,1936,1937,9,ACTRESS,Carole Lombard,My Man Godfrey,False
428,1936,1937,9,ACTRESS,Luise Rainer,The Great Ziegfeld,True
429,1936,1937,9,ACTRESS,Norma Shearer,Romeo and Juliet,False
430,1936,1937,9,SUPPORTING ACTRESS,Beulah Bondi,The Gorgeous Hussy,False
431,1936,1937,9,SUPPORTING ACTRESS,Alice Brady,My Man Godfrey,False
432,1936,1937,9,SUPPORTING ACTRESS,Bonita Granville,These Three,False
433,1936,1937,9,SUPPORTING ACTRESS,Maria Ouspenskaya,Dodsworth,False
434,1936,1937,9,SUPPORTING ACTRESS,Gale Sondergaard,Anthony Adverse,True
457,1936,1937,9,DIRECTING,William Wyler,Dodsworth,False
458,1936,1937,9,DIRECTING,Robert Z. Leonard,The Great Ziegfeld,False
459,1936,1937,9,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,True
460,1936,1937,9,DIRECTING,Gregory La Cava,My Man Godfrey,False
461,1936,1937,9,DIRECTING,W. S. Van Dyke,San Francisco,False
468,1936,1937,9,MUSIC,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse,True
469,1936,1937,9,MUSIC,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)",The Charge of the Light Brigade,False
470,1936,1937,9,MUSIC,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Garden of Allah,False
471,1936,1937,9,MUSIC,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)",The General Died at Dawn,False
472,1936,1937,9,MUSIC,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)",Winterset,False
473,1936,1937,9,MUSIC,Music by Walter Donaldson; Lyrics by Harold Adamson,Suzy,False
474,1936,1937,9,MUSIC,Music and Lyrics by Cole Porter,Born to Dance,False
475,1936,1937,9,MUSIC,Music by Louis Alter; Lyrics by Sidney Mitchell,Trail of the Lonesome Pine,False
476,1936,1937,9,MUSIC,Music by Arthur Johnston; Lyrics by Johnny Burke,Pennies from Heaven,False
477,1936,1937,9,MUSIC,Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time,True
478,1936,1937,9,MUSIC,Music by Richard A. Whiting; Lyrics by Walter Bullock,"Sing, Baby, Sing",False
522,1937,1938,10,ACTOR,Charles Boyer,Conquest,False
523,1937,1938,10,ACTOR,Fredric March,A Star Is Born,False
524,1937,1938,10,ACTOR,Robert Montgomery,Night Must Fall,False
525,1937,1938,10,ACTOR,Paul Muni,The Life of Emile Zola,False
526,1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,True
527,1937,1938,10,SUPPORTING ACTOR,Ralph Bellamy,The Awful Truth,False
528,1937,1938,10,SUPPORTING ACTOR,Thomas Mitchell,The Hurricane,False
529,1937,1938,10,SUPPORTING ACTOR,Joseph Schildkraut,The Life of Emile Zola,True
530,1937,1938,10,SUPPORTING ACTOR,H. B. Warner,Lost Horizon,False
531,1937,1938,10,SUPPORTING ACTOR,Roland Young,Topper,False
532,1937,1938,10,ACTRESS,Irene Dunne,The Awful Truth,False
533,1937,1938,10,ACTRESS,Greta Garbo,Camille,False
534,1937,1938,10,ACTRESS,Janet Gaynor,A Star Is Born,False
535,1937,1938,10,ACTRESS,Luise Rainer,The Good Earth,True
536,1937,1938,10,ACTRESS,Barbara Stanwyck,Stella Dallas,False
537,1937,1938,10,SUPPORTING ACTRESS,Alice Brady,In Old Chicago,True
538,1937,1938,10,SUPPORTING ACTRESS,Andrea Leeds,Stage Door,False
539,1937,1938,10,SUPPORTING ACTRESS,Anne Shirley,Stella Dallas,False
540,1937,1938,10,SUPPORTING ACTRESS,Claire Trevor,Dead End,False
541,1937,1938,10,SUPPORTING ACTRESS,Dame May Whitty,Night Must Fall,False
569,1937,1938,10,DIRECTING,Leo McCarey,The Awful Truth,True
570,1937,1938,10,DIRECTING,Sidney Franklin,The Good Earth,False
571,1937,1938,10,DIRECTING,William Dieterle,The Life of Emile Zola,False
572,1937,1938,10,DIRECTING,Gregory La Cava,Stage Door,False
573,1937,1938,10,DIRECTING,William Wellman,A Star Is Born,False
579,1937,1938,10,MUSIC,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)",The Hurricane,False
580,1937,1938,10,MUSIC,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)",In Old Chicago,False
581,1937,1938,10,MUSIC,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)",The Life of Emile Zola,False
582,1937,1938,10,MUSIC,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)",Lost Horizon,False
583,1937,1938,10,MUSIC,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)",Make a Wish,False
584,1937,1938,10,MUSIC,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Maytime,False
585,1937,1938,10,MUSIC,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl,True
586,1937,1938,10,MUSIC,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)",Portia on Trial,False
587,1937,1938,10,MUSIC,"Selznick International Pictures Music Department, Alfred Newman, musical director  (Score by Alfred Newman)",The Prisoner of Zenda,False
588,1937,1938,10,MUSIC,"RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)",Quality Street,False
589,1937,1938,10,MUSIC,"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",Snow White and the Seven Dwarfs,False
590,1937,1938,10,MUSIC,"Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)",Something to Sing About,False
591,1937,1938,10,MUSIC,"Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)",Souls at Sea,False
592,1937,1938,10,MUSIC,"Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)",Way Out West,False
593,1937,1938,10,MUSIC,Music by Harry Warren; Lyrics by Al Dubin,Mr. Dodd Takes the Air,False
594,1937,1938,10,MUSIC,Music and Lyrics by Harry Owens,Waikiki Wedding,True
595,1937,1938,10,MUSIC,Music by Sammy Fain; Lyrics by Lew Brown,Walter Wanger's Vogues of 1938,False
596,1937,1938,10,MUSIC,Music by George Gershwin; Lyrics by Ira Gershwin,Shall We Dance,False
597,1937,1938,10,MUSIC,Music by Frederick Hollander; Lyrics by Leo Robin,Artists and Models,False
645,1938,1939,11,ACTOR,Charles Boyer,Algiers,False
646,1938,1939,11,ACTOR,James Cagney,Angels with Dirty Faces,False
647,1938,1939,11,ACTOR,Robert Donat,The Citadel,False
648,1938,1939,11,ACTOR,Leslie Howard,Pygmalion,False
649,1938,1939,11,ACTOR,Spencer Tracy,Boys Town,True
650,1938,1939,11,SUPPORTING ACTOR,Walter Brennan,Kentucky,True
651,1938,1939,11,SUPPORTING ACTOR,John Garfield,Four Daughters,False
652,1938,1939,11,SUPPORTING ACTOR,Gene Lockhart,Algiers,False
653,1938,1939,11,SUPPORTING ACTOR,Robert Morley,Marie Antoinette,False
654,1938,1939,11,SUPPORTING ACTOR,Basil Rathbone,If I Were King,False
655,1938,1939,11,ACTRESS,Fay Bainter,White Banners,False
656,1938,1939,11,ACTRESS,Bette Davis,Jezebel,True
657,1938,1939,11,ACTRESS,Wendy Hiller,Pygmalion,False
658,1938,1939,11,ACTRESS,Norma Shearer,Marie Antoinette,False
659,1938,1939,11,ACTRESS,Margaret Sullavan,Three Comrades,False
660,1938,1939,11,SUPPORTING ACTRESS,Fay Bainter,Jezebel,True
661,1938,1939,11,SUPPORTING ACTRESS,Beulah Bondi,Of Human Hearts,False
662,1938,1939,11,SUPPORTING ACTRESS,Billie Burke,Merrily We Live,False
663,1938,1939,11,SUPPORTING ACTRESS,Spring Byington,You Can't Take It with You,False
664,1938,1939,11,SUPPORTING ACTRESS,Miliza Korjus,The Great Waltz,False
687,1938,1939,11,DIRECTING,Michael Curtiz,Angels with Dirty Faces,False
688,1938,1939,11,DIRECTING,Norman Taurog,Boys Town,False
689,1938,1939,11,DIRECTING,King Vidor,The Citadel,False
690,1938,1939,11,DIRECTING,Michael Curtiz,Four Daughters,False
691,1938,1939,11,DIRECTING,Frank Capra,You Can't Take It with You,True
697,1938,1939,11,MUSIC,Erich Wolfgang Korngold,The Adventures of Robin Hood,True
698,1938,1939,11,MUSIC,Victor Young,Army Girl,False
699,1938,1939,11,MUSIC,Marvin Hatley,Block-Heads,False
700,1938,1939,11,MUSIC,Werner Janssen,Blockade,False
701,1938,1939,11,MUSIC,Victor Young,Breaking the Ice,False
702,1938,1939,11,MUSIC,Alfred Newman,The Cowboy and the Lady,False
703,1938,1939,11,MUSIC,Richard Hageman,If I Were King,False
704,1938,1939,11,MUSIC,Herbert Stothart,Marie Antoinette,False
705,1938,1939,11,MUSIC,Russell Bennett,Pacific Liner,False
706,1938,1939,11,MUSIC,Louis Silvers,Suez,False
707,1938,1939,11,MUSIC,Franz Waxman,The Young in Heart,False
708,1938,1939,11,MUSIC,Alfred Newman,Alexander's Ragtime Band,True
709,1938,1939,11,MUSIC,Victor Baravalle,Carefree,False
710,1938,1939,11,MUSIC,"Morris Stoloff, Gregory Stone",Girls' School,False
711,1938,1939,11,MUSIC,Alfred Newman,The Goldwyn Follies,False
712,1938,1939,11,MUSIC,Max Steiner,Jezebel,False
713,1938,1939,11,MUSIC,"Charles Previn, Frank Skinner",Mad about Music,False
714,1938,1939,11,MUSIC,Cy Feuer,Storm over Bengal,False
715,1938,1939,11,MUSIC,Herbert Stothart,Sweethearts,False
716,1938,1939,11,MUSIC,Marvin Hatley,There Goes My Heart,False
717,1938,1939,11,MUSIC,Boris Morros,Tropic Holiday,False
718,1938,1939,11,MUSIC,Franz Waxman,The Young in Heart,False
719,1938,1939,11,MUSIC,Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright,Mannequin,False
720,1938,1939,11,MUSIC,Music and Lyrics by Irving Berlin,Carefree,False
721,1938,1939,11,MUSIC,Music by Lionel Newman; Lyrics by Arthur Quenzer,The Cowboy and the Lady,False
722,1938,1939,11,MUSIC,Music and Lyrics by Johnny Marvin,Under Western Stars,False
723,1938,1939,11,MUSIC,Music by Harry Warren; Lyrics by Johnny Mercer,Going Places,False
724,1938,1939,11,MUSIC,Music by Phil Charig; Lyrics by Arthur Quenzer,Merrily We Live,False
725,1938,1939,11,MUSIC,Music by Ben Oakland; Lyrics by Oscar Hammerstein II,The Lady Objects,False
726,1938,1939,11,MUSIC,Music by Jimmy McHugh; Lyrics by Harold Adamson,That Certain Age,False
727,1938,1939,11,MUSIC,Music and Lyrics by Irving Berlin,Alexander's Ragtime Band,False
728,1938,1939,11,MUSIC,Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,True
784,1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",True
785,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,False
786,1939,1940,12,ACTOR,Laurence Olivier,Wuthering Heights,False
787,1939,1940,12,ACTOR,Mickey Rooney,Babes in Arms,False
788,1939,1940,12,ACTOR,James Stewart,Mr. Smith Goes to Washington,False
789,1939,1940,12,SUPPORTING ACTOR,Brian Aherne,Juarez,False
790,1939,1940,12,SUPPORTING ACTOR,Harry Carey,Mr. Smith Goes to Washington,False
791,1939,1940,12,SUPPORTING ACTOR,Brian Donlevy,Beau Geste,False
792,1939,1940,12,SUPPORTING ACTOR,Thomas Mitchell,Stagecoach,True
793,1939,1940,12,SUPPORTING ACTOR,Claude Rains,Mr. Smith Goes to Washington,False
794,1939,1940,12,ACTRESS,Bette Davis,Dark Victory,False
795,1939,1940,12,ACTRESS,Irene Dunne,Love Affair,False
796,1939,1940,12,ACTRESS,Greta Garbo,Ninotchka,False
797,1939,1940,12,ACTRESS,Greer Garson,"Goodbye, Mr. Chips",False
798,1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,True
799,1939,1940,12,SUPPORTING ACTRESS,Olivia de Havilland,Gone with the Wind,False
800,1939,1940,12,SUPPORTING ACTRESS,Geraldine Fitzgerald,Wuthering Heights,False
801,1939,1940,12,SUPPORTING ACTRESS,Hattie McDaniel,Gone with the Wind,True
802,1939,1940,12,SUPPORTING ACTRESS,Edna May Oliver,Drums along the Mohawk,False
803,1939,1940,12,SUPPORTING ACTRESS,Maria Ouspenskaya,Love Affair,False
833,1939,1940,12,DIRECTING,Victor Fleming,Gone with the Wind,True
834,1939,1940,12,DIRECTING,Sam Wood,"Goodbye, Mr. Chips",False
835,1939,1940,12,DIRECTING,Frank Capra,Mr. Smith Goes to Washington,False
836,1939,1940,12,DIRECTING,John Ford,Stagecoach,False
837,1939,1940,12,DIRECTING,William Wyler,Wuthering Heights,False
843,1939,1940,12,MUSIC,Max Steiner,Dark Victory,False
844,1939,1940,12,MUSIC,Werner Janssen,Eternally Yours,False
845,1939,1940,12,MUSIC,Victor Young,Golden Boy,False
846,1939,1940,12,MUSIC,Max Steiner,Gone with the Wind,False
847,1939,1940,12,MUSIC,Victor Young,Gulliver's Travels,False
848,1939,1940,12,MUSIC,"Lud Gluskin, Lucien Moraweck",The Man in the Iron Mask,False
849,1939,1940,12,MUSIC,Victor Young,Man of Conquest,False
850,1939,1940,12,MUSIC,Anthony Collins,Nurse Edith Cavell,False
851,1939,1940,12,MUSIC,Aaron Copland,Of Mice and Men,False
852,1939,1940,12,MUSIC,Alfred Newman,The Rains Came,False
853,1939,1940,12,MUSIC,Herbert Stothart,The Wizard of Oz,True
854,1939,1940,12,MUSIC,Alfred Newman,Wuthering Heights,False
855,1939,1940,12,MUSIC,"George E. Stoll, Roger Edens",Babes in Arms,False
856,1939,1940,12,MUSIC,Charles Previn,First Love,False
857,1939,1940,12,MUSIC,"Phil Boutelje, Arthur Lange",The Great Victor Herbert,False
858,1939,1940,12,MUSIC,Alfred Newman,The Hunchback of Notre Dame,False
859,1939,1940,12,MUSIC,Lou Forbes,Intermezzo,False
860,1939,1940,12,MUSIC,Dimitri Tiomkin,Mr. Smith Goes to Washington,False
861,1939,1940,12,MUSIC,Aaron Copland,Of Mice and Men,False
862,1939,1940,12,MUSIC,Erich Wolfgang Korngold,The Private Lives of Elizabeth and Essex,False
863,1939,1940,12,MUSIC,Cy Feuer,She Married a Cop,False
864,1939,1940,12,MUSIC,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,True
865,1939,1940,12,MUSIC,Louis Silvers,Swanee River,False
866,1939,1940,12,MUSIC,Alfred Newman,They Shall Have Music,False
867,1939,1940,12,MUSIC,Victor Young,Way Down South,False
868,1939,1940,12,MUSIC,Music by Ralph Rainger; Lyrics by Leo Robin,Gulliver's Travels,False
869,1939,1940,12,MUSIC,Music and Lyrics by Irving Berlin,Second Fiddle,False
870,1939,1940,12,MUSIC,Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,True
871,1939,1940,12,MUSIC,Music and Lyrics by Buddy de Sylva,Love Affair,False
927,1940,1941,13,ACTOR,Charles Chaplin,The Great Dictator,False
928,1940,1941,13,ACTOR,Henry Fonda,The Grapes of Wrath,False
929,1940,1941,13,ACTOR,Raymond Massey,Abe Lincoln in Illinois,False
930,1940,1941,13,ACTOR,Laurence Olivier,Rebecca,False
931,1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,True
932,1940,1941,13,SUPPORTING ACTOR,Albert Basserman,Foreign Correspondent,False
933,1940,1941,13,SUPPORTING ACTOR,Walter Brennan,The Westerner,True
934,1940,1941,13,SUPPORTING ACTOR,William Gargan,They Knew What They Wanted,False
935,1940,1941,13,SUPPORTING ACTOR,Jack Oakie,The Great Dictator,False
936,1940,1941,13,SUPPORTING ACTOR,James Stephenson,The Letter,False
937,1940,1941,13,ACTRESS,Bette Davis,The Letter,False
938,1940,1941,13,ACTRESS,Joan Fontaine,Rebecca,False
939,1940,1941,13,ACTRESS,Katharine Hepburn,The Philadelphia Story,False
940,1940,1941,13,ACTRESS,Ginger Rogers,Kitty Foyle,True
941,1940,1941,13,ACTRESS,Martha Scott,Our Town,False
942,1940,1941,13,SUPPORTING ACTRESS,Judith Anderson,Rebecca,False
943,1940,1941,13,SUPPORTING ACTRESS,Jane Darwell,The Grapes of Wrath,True
944,1940,1941,13,SUPPORTING ACTRESS,Ruth Hussey,The Philadelphia Story,False
945,1940,1941,13,SUPPORTING ACTRESS,Barbara O'Neil,"All This, and Heaven Too",False
946,1940,1941,13,SUPPORTING ACTRESS,Marjorie Rambeau,Primrose Path,False
980,1940,1941,13,DIRECTING,John Ford,The Grapes of Wrath,True
981,1940,1941,13,DIRECTING,Sam Wood,Kitty Foyle,False
982,1940,1941,13,DIRECTING,William Wyler,The Letter,False
983,1940,1941,13,DIRECTING,George Cukor,The Philadelphia Story,False
984,1940,1941,13,DIRECTING,Alfred Hitchcock,Rebecca,False
990,1940,1941,13,MUSIC,Victor Young,Arizona,False
991,1940,1941,13,MUSIC,Victor Young,The Dark Command,False
992,1940,1941,13,MUSIC,Louis Gruenberg,The Fight for Life,False
993,1940,1941,13,MUSIC,Meredith Willson,The Great Dictator,False
994,1940,1941,13,MUSIC,Frank Skinner,The House of the Seven Gables,False
995,1940,1941,13,MUSIC,Richard Hageman,The Howards of Virginia,False
